"UNIVERSIDADE FEDERAL DE MATO GROSSO",","2"
"UNIVERSIDADE FEDERAL DE SANTA CATARINA",","4"
"UNIVERSIDADE FEDERAL DE MATO GROSSO",","2"
"UNIVERSIDADE FEDERAL DE SANTA CATARINA",","4"
"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO",","3"
"UNIVERSIDADE CÂNDIDO MENDES",","0"
"UNIVERSIDADE FEDERAL DE GOIÁS",","2"
"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO",","3"
"UNIVERSIDADE FEDERAL DO ACRE",","0"
"UNICEN",","5"
"CONSEJO NACIONAL DE INVESTIGACIONES CIENTÍFICAS Y TÉCNICAS - ARGENTINA",","5"
"UNIVERSIDADE FEDERAL DA GRANDE DOURADOS",","2"
"UNIVERSIDADE ESTADUAL DE MATO GROSSO DO SUL",","2"
"UNIVERSIDADE FEDERAL DE SÃO PAULO",","3"
"UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL",","4"
"UNIVERSIDADE FEDERAL DE GOIÁS",","2"
"ESCOLA NACIONAL DE CIÊNCIAS ESTATÍSTICAS",","6"
"PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS",","3"
"UNIVERSIDADE FEDERAL DE SANTA CATARINA",","4"
"ESCUELA NACIONAL DE ANTROPOLOGÍA E HISTORIA",","5"
"UNIVERSIDADE DO ESTADO DA BAHIA,","1"
"UNIVERSIDADE DO ESTADO DA BAHIA",","1"
"FUNDAÇÃO UNIVERSIDADE REGIONAL DE BLUMENAU",","4"
"UNIVERSITAT AUTÒNOMA DE BARCELONA",","5"
"UNIVERSIDAD DE SALAMANCA",","5"
"UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL",","2"
"UNIVERSIDADE FEDERAL DO CEARÁ",","1"
"UNIVERSIDADE FEDERAL DO CEARÁ",","1"
"UNIVERSIDADE FEDERAL DE MATO GROSSO",","2"
"UNIVERSIDADE FEDERAL DE MATO GROSSO",","2"
"UNIVERSIDADE FEDERAL DE MATO GROSSO",","2"
"UNIVERSIDADE FEDERAL FLUMINENSE",","3"
"CONSEJO NACIONAL DE INVESTIGACIONES CIENTÍFICAS Y TÉCNICAS - ARGENTINA",","5"
